service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20160104","20160207"
"10","0","0","0","1","0","0","0","20160104","20160207"
"11","0","0","0","1","0","0","0","20160104","20160207"
"12","0","0","0","1","0","0","0","20160104","20160207"
"13","0","0","0","1","0","0","0","20160104","20160207"
"14","0","0","0","1","0","0","0","20160104","20160207"
"15","0","0","0","1","0","0","0","20160104","20160207"
"16","1","0","0","0","0","0","0","20160104","20160207"
"17","1","0","0","0","0","0","0","20160104","20160207"
"18","1","0","0","0","0","0","0","20160104","20160207"
"19","1","0","0","0","0","0","0","20160104","20160207"
"2","0","0","0","1","0","0","0","20160104","20160207"
"20","1","0","0","0","0","0","0","20160104","20160207"
"21","1","0","0","0","0","0","0","20160104","20160207"
"22","0","1","0","0","0","0","0","20160104","20160207"
"23","0","1","0","0","0","0","0","20160104","20160207"
"24","0","1","0","0","0","0","0","20160104","20160207"
"25","0","1","0","0","0","0","0","20160104","20160207"
"26","0","1","0","0","0","0","0","20160104","20160207"
"27","0","1","0","0","0","0","0","20160104","20160207"
"28","0","0","1","0","0","0","0","20160104","20160207"
"29","0","0","1","0","0","0","0","20160104","20160207"
"3","1","0","0","0","0","0","0","20160104","20160207"
"30","0","0","1","0","0","0","0","20160104","20160207"
"31","0","0","1","0","0","0","0","20160104","20160207"
"32","0","0","1","0","0","0","0","20160104","20160207"
"33","0","0","1","0","0","0","0","20160104","20160207"
"34","0","0","0","0","0","1","0","20160104","20160207"
"35","0","0","0","0","0","1","0","20160104","20160207"
"36","0","0","0","0","1","0","0","20160104","20160207"
"37","0","0","0","0","1","0","0","20160104","20160207"
"38","0","0","0","0","1","0","0","20160104","20160207"
"39","0","0","0","0","1","0","0","20160104","20160207"
"4","0","1","0","0","0","0","0","20160104","20160207"
"40","0","0","0","0","1","0","0","20160104","20160207"
"41","0","0","0","0","1","0","0","20160104","20160207"
"5","0","0","1","0","0","0","0","20160104","20160207"
"6","0","0","0","0","0","1","0","20160104","20160207"
"7","0","0","0","0","1","0","0","20160104","20160207"
"8","0","0","0","0","0","0","1","20160104","20160207"
"9","0","0","0","0","0","0","1","20160104","20160207"
