stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
"acaquot","A. Caquot","","","","","",""
"amphores","AMPHORES","","","","","",""
"anthala","Anthala","","","","","",""
"ateliers","Ateliers","","","","","",""
"avdelasarrazine","Av. de la Sarrazine","","","","","",""
"balzac","Balzac","","","","","",""
"beethoven","Beethoven","","","","","",""
"belugues","Belugues","","","","","",""
"bouillides","Bouillides","","","","","",""
"briand","Briand","","","","","",""
"bruscs","Bruscs","","","","","",""
"cardoulines","Cardoulines","","","","","",""
"ccommercial","C. Commercial","","","","","",""
"chapelledescombes","CHAPELLE DES COMBES","","","","","",""
"cistes","Cistes","","","","","",""
"damesblanches","Dames Blanches","","","","","",""
"diablesbleus","Diables Bleus","","","","","",""
"dugommier","DUGOMMIER","","","","","",""
"eganaude","EGANAUDE","","","","","",""
"eglisestejeanned’arc","Eglise Ste-Jeanne d’Arc","","","","","",""
"estérel","Estérel","","","","","",""
"foyerleroc","FOYER LE ROC","","","","","",""
"garbejaïre","Garbejaïre","","","","","",""
"gpompidou","G. Pompidou","","","","","",""
"grvalbonnesophiaantipolis","GR. VALBONNE SOPHIA ANTIPOLIS","","43.624323","7.037237","","",""
"inria","INRIA","","","","","",""
"jardinpauline","Jardin Pauline","","","","","",""
"logisstclaude","Logis St-Claude","","","","","",""
"lycaudiberti","LYC. AUDIBERTI","","","","","",""
"lycéeldevinci","Lycée L. De Vinci","","","","","",""
"municipaux","Municipaux","","","","","",""
"novaantipolis","Nova Antipolis","","","","","",""
"oliviers","Oliviers","","","","","",""
"pindoré","Pin Doré","","","","","",""
"pontdulys","Pont Dulys","","","","","",""
"printemps","Printemps","","","","","",""
"pôled’échangesantibes","PÔLE D’ÉCHANGES ANTIBES","","","","","",""
"rdptdeschappes","Rd-Pt des Chappes","","","","","",""
"rubanbleu","Ruban Bleu","","","","","",""
"skema","SKEMA","","","","","",""
"slafitte","S. Lafitte","","","","","",""
"squaredulys","Square Dulys","","","","","",""
"stadedes3moulins","Stade des 3 Moulins","","","","","",""
"stadenautique","Stade Nautique","","","","","",""
"sthonorat","St-Honorat","","","","","",""
"templiers","TEMPLIERS","","","","","",""
"trianon","Trianon","","","","","",""
"vallonvert","Vallon Vert","","","","","",""
"wilson","Wilson","","","","","",""
