route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0003","12","1","C3 | Henri Fréville","","0","1276502","","1",""
"0003","38","10","C3 | Henri Fréville","","0","1274503","","1",""
"0003","38","100","C3 | Saint-Laurent","","1","1274502","","1",""
"0150","12","1000","150 | Rennes République","","0","1276785","","1",""
"0067","16","10000","67 | Rennes République","","0","1281427","","1",""
"0067","22","10001","67 | Rennes République","","0","1281659","","1",""
"0067","28","10002","67 | Rennes République","","0","1281891","","1",""
"0067","36","10003","67 | Rennes République","","0","1282462","","1",""
"0067","10","10004","67 | Rennes République","","0","1282331","","1",""
"0067","16","10005","67 | Rennes République","","0","1281522","","1",""
"0067","22","10006","67 | Rennes République","","0","1281754","","1",""
"0067","28","10007","67 | Rennes République","","0","1281984","","1",""
"0067","36","10008","67 | Rennes République","","0","1282531","","1",""
"0067","10","10009","67 | Cesson-Sévigné Brécé","","1","1282135","","1",""
"0150","18","1001","150 | Rennes République","","0","1275285","","1",""
"0067","16","10010","67 | Cesson-Sévigné Brécé","","1","1281426","","1",""
"0067","22","10011","67 | Cesson-Sévigné Brécé","","1","1281658","","1",""
"0067","28","10012","67 | Cesson-Sévigné Brécé","","1","1281890","","1",""
"0067","36","10013","67 | Cesson-Sévigné Brécé","","1","1282461","","1",""
"0067","10","10014","67 | Cesson-Sévigné Rigourdière","","1","1282135","","1",""
"0067","16","10015","67 | Cesson-Sévigné Rigourdière","","1","1281426","","1",""
"0067","22","10016","67 | Cesson-Sévigné Rigourdière","","1","1281658","","1",""
"0067","28","10017","67 | Cesson-Sévigné Rigourdière","","1","1281890","","1",""
"0067","36","10018","67 | Cesson-Sévigné Rigourdière","","1","1282461","","1",""
"0067","10","10019","67 | Cesson-Sévigné Brécé","","1","1282136","","1",""
"0150","24","1002","150 | Rennes République","","0","1274291","","1",""
"0067","16","10020","67 | Cesson-Sévigné Brécé","","1","1281427","","1",""
"0067","22","10021","67 | Cesson-Sévigné Brécé","","1","1281659","","1",""
"0067","28","10022","67 | Cesson-Sévigné Brécé","","1","1281891","","1",""
"0067","36","10023","67 | Cesson-Sévigné Brécé","","1","1282462","","1",""
"0067","10","10024","67 | Cesson-Sévigné Brécé","","1","1282331","","1",""
"0067","16","10025","67 | Cesson-Sévigné Brécé","","1","1281522","","1",""
"0067","22","10026","67 | Cesson-Sévigné Brécé","","1","1281754","","1",""
"0067","28","10027","67 | Cesson-Sévigné Brécé","","1","1281984","","1",""
"0067","36","10028","67 | Cesson-Sévigné Brécé","","1","1282531","","1",""
"0067","10","10029","67 | Cesson-Sévigné Brécé","","1","1282333","","1",""
"0150","30","1003","150 | Rennes République","","0","1275579","","1",""
"0067","16","10030","67 | Cesson-Sévigné Brécé","","1","1281524","","1",""
"0067","22","10031","67 | Cesson-Sévigné Brécé","","1","1281756","","1",""
"0067","28","10032","67 | Cesson-Sévigné Brécé","","1","1281986","","1",""
"0067","36","10033","67 | Cesson-Sévigné Brécé","","1","1282533","","1",""
"0067","10","10034","67 | Cesson-Sévigné Brécé","","1","1282136","","1",""
"0067","16","10035","67 | Cesson-Sévigné Brécé","","1","1281427","","1",""
"0067","22","10036","67 | Cesson-Sévigné Brécé","","1","1281659","","1",""
"0067","28","10037","67 | Cesson-Sévigné Brécé","","1","1281891","","1",""
"0067","36","10038","67 | Cesson-Sévigné Brécé","","1","1282462","","1",""
"0067","10","10039","67 | Cesson-Sévigné Rigourdière","","1","1282333","","1",""
"0150","38","1004","150 | Rennes République","","0","1274785","","1",""
"0067","16","10040","67 | Cesson-Sévigné Rigourdière","","1","1281524","","1",""
"0067","22","10041","67 | Cesson-Sévigné Rigourdière","","1","1281756","","1",""
"0067","28","10042","67 | Cesson-Sévigné Rigourdière","","1","1281986","","1",""
"0067","36","10043","67 | Cesson-Sévigné Rigourdière","","1","1282533","","1",""
"0067","10","10044","67 | Cesson-Sévigné Brécé","","1","1282331","","1",""
"0067","16","10045","67 | Cesson-Sévigné Brécé","","1","1281522","","1",""
"0067","22","10046","67 | Cesson-Sévigné Brécé","","1","1281754","","1",""
"0067","28","10047","67 | Cesson-Sévigné Brécé","","1","1281984","","1",""
"0067","36","10048","67 | Cesson-Sévigné Brécé","","1","1282531","","1",""
"0067","10","10049","67 | Rennes République","","0","1282135","","1",""
"0150","12","1005","150 | Rennes République","","0","1276593","","1",""
"0067","16","10050","67 | Rennes République","","0","1281426","","1",""
"0067","22","10051","67 | Rennes République","","0","1281658","","1",""
"0067","28","10052","67 | Rennes République","","0","1281890","","1",""
"0067","36","10053","67 | Rennes République","","0","1282461","","1",""
"0067","10","10054","67 | Rennes République","","0","1282333","","1",""
"0067","16","10055","67 | Rennes République","","0","1281524","","1",""
"0067","22","10056","67 | Rennes République","","0","1281756","","1",""
"0067","28","10057","67 | Rennes République","","0","1281986","","1",""
"0067","36","10058","67 | Rennes République","","0","1282533","","1",""
"0067","10","10059","67 | Cesson-Sévigné Brécé","","1","1282331","","1",""
"0150","18","1006","150 | Rennes République","","0","1275093","","1",""
"0067","16","10060","67 | Cesson-Sévigné Brécé","","1","1281522","","1",""
"0067","22","10061","67 | Cesson-Sévigné Brécé","","1","1281754","","1",""
"0067","28","10062","67 | Cesson-Sévigné Brécé","","1","1281984","","1",""
"0067","36","10063","67 | Cesson-Sévigné Brécé","","1","1282531","","1",""
"0067","10","10064","67 | Cesson-Sévigné Brécé","","1","1282332","","1",""
"0067","16","10065","67 | Cesson-Sévigné Brécé","","1","1281523","","1",""
"0067","22","10066","67 | Cesson-Sévigné Brécé","","1","1281755","","1",""
"0067","28","10067","67 | Cesson-Sévigné Brécé","","1","1281985","","1",""
"0067","36","10068","67 | Cesson-Sévigné Brécé","","1","1282532","","1",""
"0067","10","10069","67 | Cesson-Sévigné Brécé","","1","1282334","","1",""
"0150","24","1007","150 | Rennes République","","0","1274093","","1",""
"0067","16","10070","67 | Cesson-Sévigné Brécé","","1","1281525","","1",""
"0067","22","10071","67 | Cesson-Sévigné Brécé","","1","1281757","","1",""
"0067","28","10072","67 | Cesson-Sévigné Brécé","","1","1281987","","1",""
"0067","36","10073","67 | Cesson-Sévigné Brécé","","1","1282534","","1",""
"0067","10","10074","67 | Cesson-Sévigné Rigourdière","","1","1282135","","1",""
"0067","16","10075","67 | Cesson-Sévigné Rigourdière","","1","1281426","","1",""
"0067","22","10076","67 | Cesson-Sévigné Rigourdière","","1","1281658","","1",""
"0067","28","10077","67 | Cesson-Sévigné Rigourdière","","1","1281890","","1",""
"0067","36","10078","67 | Cesson-Sévigné Rigourdière","","1","1282461","","1",""
"0067","10","10079","67 | Cesson-Sévigné Rigourdière","","1","1282136","","1",""
"0150","30","1008","150 | Rennes République","","0","1275387","","1",""
"0067","16","10080","67 | Cesson-Sévigné Rigourdière","","1","1281427","","1",""
"0067","22","10081","67 | Cesson-Sévigné Rigourdière","","1","1281659","","1",""
"0067","28","10082","67 | Cesson-Sévigné Rigourdière","","1","1281891","","1",""
"0067","36","10083","67 | Cesson-Sévigné Rigourdière","","1","1282462","","1",""
"0067","10","10084","67 | Cesson-Sévigné Rigourdière","","1","1282331","","1",""
"0067","16","10085","67 | Cesson-Sévigné Rigourdière","","1","1281522","","1",""
"0067","22","10086","67 | Cesson-Sévigné Rigourdière","","1","1281754","","1",""
"0067","28","10087","67 | Cesson-Sévigné Rigourdière","","1","1281984","","1",""
"0067","36","10088","67 | Cesson-Sévigné Rigourdière","","1","1282531","","1",""
"0067","10","10089","67 | Cesson-Sévigné Rigourdière","","1","1282331","","1",""
"0150","38","1009","150 | Rennes République","","0","1274593","","1",""
"0067","16","10090","67 | Cesson-Sévigné Rigourdière","","1","1281522","","1",""
"0067","22","10091","67 | Cesson-Sévigné Rigourdière","","1","1281754","","1",""
"0067","28","10092","67 | Cesson-Sévigné Rigourdière","","1","1281984","","1",""
"0067","36","10093","67 | Cesson-Sévigné Rigourdière","","1","1282531","","1",""
"0067","10","10094","67 | Cesson-Sévigné Rigourdière","","1","1282331","","1",""
"0067","16","10095","67 | Cesson-Sévigné Rigourdière","","1","1281522","","1",""
